cover_strain,core_strain,N.A,steel_strain,Moment,Curvature,Force,Sh_displacement,Fl_displacement,Total_displacement,Shear_assessment,Shear_design
0,0,0,0,0,0,0,0,0,0,10677.21,7601.77
0.0001,0.0001,8149.67,0.00008,243.08,0.00001,20.26,0.00002,0.00059,0.00061,10677.21,7601.77
0.0002,0.0002,1813.85,-0.00001,2794.77,0.00011,232.9,0.00018,0.00529,0.00548,10677.21,7601.77
0.0003,0.00029,1333.35,-0.00013,4562.94,0.00022,380.24,0.0003,0.01084,0.01114,10677.21,7601.77
0.0004,0.00039,1123.32,-0.00029,5991.3,0.00036,499.27,0.0004,0.01723,0.01762,10677.21,7601.77
0.0005,0.00048,1003.7,-0.00046,7279.65,0.0005,606.64,0.00048,0.02422,0.0247,10677.21,7601.77
0.0006,0.00057,927.62,-0.00065,8491.98,0.00065,707.67,0.00056,0.03161,0.03217,10677.21,7601.77
0.0007,0.00067,876.84,-0.00084,9703.85,0.0008,808.65,0.00064,0.03922,0.03986,10677.21,7601.77
0.0008,0.00076,842.41,-0.00103,10961.42,0.00095,913.45,0.00072,0.04691,0.04763,10677.21,7601.77
0.0009,0.00086,815.44,-0.00123,12128.92,0.0011,1010.74,0.0008,0.05481,0.05561,10677.21,7601.77
0.001,0.00095,795.28,-0.00143,13305.05,0.00126,1108.75,0.00088,0.06278,0.06366,10677.21,7601.77
0.0011,0.00104,779.52,-0.00162,14432.2,0.00141,1202.68,0.00095,0.07084,0.07179,10677.21,7601.77
0.0012,0.00114,767.9,-0.00182,15597.73,0.00156,1299.81,0.00103,0.07886,0.07989,10677.21,7601.77
0.0013,0.00123,756.45,-0.00202,16652.7,0.00172,1387.72,0.0011,0.08637,0.08747,10677.21,7601.77
0.0014,0.00132,743.31,-0.00224,17508.42,0.00188,1459.03,0.00116,0.09186,0.09301,10677.21,7601.77
0.0015,0.00142,728.57,-0.00248,18140.89,0.00206,1511.74,0.0012,0.09664,0.09784,10677.21,7601.77
0.0016,0.00151,712.34,-0.00274,18637.49,0.00225,1553.12,0.00123,0.10108,0.10231,10677.21,7601.77
0.0018,0.00169,684.38,-0.00328,19527.78,0.00263,1627.32,0.00129,0.10969,0.11098,10677.21,7601.77
0.002,0.00188,657.51,-0.00387,20164.45,0.00304,1680.37,0.00133,0.11772,0.11905,10677.21,7601.77
0.0025,0.00234,607.67,-0.00544,21207.54,0.00411,1767.29,0.0014,0.13632,0.13772,10677.21,7601.77
0.003,0.00279,577.29,-0.00703,21743.04,0.0052,1811.92,0.00143,0.15315,0.15458,10677.21,7601.77
0.0035,0.00325,557.41,-0.00862,22347.6,0.00628,1862.3,0.00147,0.17023,0.1717,10677.21,7601.77
0.004,0.0037,540.91,-0.01028,22632.02,0.00739,1886,0.00149,0.18656,0.18805,10677.21,7601.77
0.0045,0.00416,531.52,-0.01185,23002.89,0.00847,1916.91,0.00162,0.20261,0.20423,10677.21,7601.77
0.005,0.00462,522.29,-0.01349,23254.06,0.00957,1937.84,0.00175,0.21869,0.22044,10677.21,7601.77
0.006,0.00553,509.37,-0.01675,23651.21,0.01178,1970.93,0.002,0.25035,0.25235,10598.43,7544.05
0.007,0.00645,508.1,-0.0196,23769.63,0.01378,1980.8,0.00223,0.27811,0.28033,10486.32,7461.91
0.008,0.00737,504.3,-0.02263,23970.39,0.01586,1997.53,0.00246,0.30739,0.30986,10368.03,7375.24
0.009,0.00828,500.53,-0.02572,24185.29,0.01798,2015.44,0.0027,0.33716,0.33986,10247.84,7287.17
0.01,0.0092,498.03,-0.02877,24449.98,0.02008,2037.5,0.00294,0.36684,0.36978,10127.95,7199.32
0.012,0.01103,494.3,-0.03488,24868.41,0.02428,2072.37,0.00341,0.42581,0.42922,9889.79,7024.83
0.014,0.01286,491.83,-0.04097,25134.68,0.02846,2094.56,0.00387,0.48408,0.48795,9654.47,6852.41
0.016,0.0147,490.6,-0.04698,25470.91,0.03261,2122.58,0.00434,0.54206,0.5464,9420.3,6680.83
0.018,0.01653,490.6,-0.05285,25639.69,0.03669,2136.64,0.00479,0.59843,0.60322,9192.63,6514.02
0.02,0.01838,492.44,-0.05843,26008.78,0.04061,2167.4,0.00523,0.65349,0.65872,8970.3,6351.11
0.022,0.02021,492.44,-0.06427,26111.5,0.04468,2175.96,0.00568,0.7094,0.71508,8744.47,6185.65
0.024,0.02205,492.44,-0.07011,26160.6,0.04874,2180.05,0.00612,0.76512,0.77124,8519.46,6020.79
0.026,0.0239,494.28,-0.07557,26374.62,0.0526,2197.89,0.00655,0.81876,0.82532,8302.8,5862.04
0.028,0.02573,494.28,-0.08139,26436.93,0.05665,2203.08,0.007,0.87432,0.88132,8078.43,5697.64
0.03,0.02757,494.28,-0.0872,26499.63,0.06069,2208.3,0.00744,0.92988,0.93732,7880.35,5552.51
